value,country_code,year,month,feature_id
,LCA,2020,4,7
26.1,LIE,2020,4,7
0.3,LKA,2020,4,7
11.9,LTU,2020,4,7
141.8,LUX,2020,4,7
8.0,LVA,2020,4,7
4.6,MAR,2020,4,7
101.2,MCO,2020,4,7
28.8,MDA,2020,4,7
,MDG,2020,4,7
1.8,MDV,2020,4,7
14.3,MEX,2020,4,7
37.0,MKD,2020,4,7
1.2,MLI,2020,4,7
7.8,MLT,2020,4,7
0.1,MMR,2020,4,7
11.1,MNE,2020,4,7
,MNG,2020,4,7
,MOZ,2020,4,7
0.2,MRT,2020,4,7
7.9,MUS,2020,4,7
0.2,MWI,2020,4,7
3.1,MYS,2020,4,7
,NAM,2020,4,7
1.3,NER,2020,4,7
0.3,NGA,2020,4,7
0.4,NIC,2020,4,7
280.1,NLD,2020,4,7
38.4,NOR,2020,4,7
,NPL,2020,4,7
3.9,NZL,2020,4,7
2.1,OMN,2020,4,7
1.2,OWID_AFR,2020,4,7
4.0,OWID_ASI,2020,4,7
233.6,OWID_EUN,2020,4,7
180.4,OWID_EUR,2020,4,7
,OWID_INT,2020,4,7
12.4,OWID_KOS,2020,4,7
122.2,OWID_NAM,2020,4,7
2.6,OWID_OCE,2020,4,7
28.9,OWID_SAM,2020,4,7
30.6,OWID_WRL,2020,4,7
1.9,PAK,2020,4,7
42.9,PAN,2020,4,7
143.3,PER,2020,4,7
5.1,PHL,2020,4,7
,PNG,2020,4,7
17.0,POL,2020,4,7
97.3,PRT,2020,4,7
1.4,PRY,2020,4,7
0.4,PSE,2020,4,7
3.4,QAT,2020,4,7
37.5,ROU,2020,4,7
7.4,RUS,2020,4,7
,RWA,2020,4,7
4.6,SAU,2020,4,7
0.7,SDN,2020,4,7
0.5,SEN,2020,4,7
2.5,SGP,2020,4,7
0.9,SLE,2020,4,7
1.5,SLV,2020,4,7
1205.5,SMR,2020,4,7
1.7,SOM,2020,4,7
25.9,SRB,2020,4,7
,SSD,2020,4,7
,STP,2020,4,7
1.7,SUR,2020,4,7
4.2,SVK,2020,4,7
43.8,SVN,2020,4,7
254.5,SWE,2020,4,7
0.9,SWZ,2020,4,7
,SYC,2020,4,7
0.2,SYR,2020,4,7
0.3,TCD,2020,4,7
1.1,TGO,2020,4,7
0.8,THA,2020,4,7
,TLS,2020,4,7
5.7,TTO,2020,4,7
3.4,TUN,2020,4,7
37.3,TUR,2020,4,7
0.3,TWN,2020,4,7
0.3,TZA,2020,4,7
,UGA,2020,4,7
6.0,UKR,2020,4,7
4.9,URY,2020,4,7
198.7,USA,2020,4,7
0.3,UZB,2020,4,7
,VAT,2020,4,7
,VCT,2020,4,7
0.6,VEN,2020,4,7
,VNM,2020,4,7
0.1,YEM,2020,4,7
1.7,ZAF,2020,4,7
0.2,ZMB,2020,4,7
0.3,ZWE,2020,4,7
6.4,AFG,2020,5,7
0.1,AGO,2020,5,7
11.5,ALB,2020,5,7
659.3,AND,2020,5,7
26.4,ARE,2020,5,7
11.8,ARG,2020,5,7
44.1,ARM,2020,5,7
30.4,ATG,2020,5,7
4.0,AUS,2020,5,7
73.9,AUT,2020,5,7
6.2,AZE,2020,5,7
0.1,BDI,2020,5,7
813.9,BEL,2020,5,7
0.2,BEN,2020,5,7
2.5,BFA,2020,5,7
3.9,BGD,2020,5,7
20.3,BGR,2020,5,7
10.9,BHR,2020,5,7
27.7,BHS,2020,5,7
46.9,BIH,2020,5,7
24.9,BLR,2020,5,7
4.9,BLZ,2020,5,7
26.5,BOL,2020,5,7
137.0,BRA,2020,5,7
24.3,BRB,2020,5,7
4.5,BRN,2020,5,7
,BTN,2020,5,7
0.4,BWA,2020,5,7
0.4,CAF,2020,5,7
207.7,CAN,2020,5,7
206.1,CHE,2020,5,7
54.9,CHL,2020,5,7
3.2,CHN,2020,5,7
1.2,CIV,2020,5,7
7.0,CMR,2020,5,7
0.8,COD,2020,5,7
3.5,COG,2020,5,7
18.3,COL,2020,5,7
2.3,COM,2020,5,7
7.1,CPV,2020,5,7
1.9,CRI,2020,5,7
7.3,CUB,2020,5,7
19.0,CYP,2020,5,7
29.8,CZE,2020,5,7
101.8,DEU,2020,5,7
23.9,DJI,2020,5,7
,DMA,2020,5,7
98.7,DNK,2020,5,7
45.8,DOM,2020,5,7
14.6,DZA,2020,5,7
187.7,ECU,2020,5,7
9.2,EGY,2020,5,7
,ERI,2020,5,7
580.3,ESP,2020,5,7
51.3,EST,2020,5,7
0.1,ETH,2020,5,7
57.7,FIN,2020,5,7
,FJI,2020,5,7
426.3,FRA,2020,5,7
7.5,GAB,2020,5,7
550.2,GBR,2020,5,7
3.0,GEO,2020,5,7
1.1,GHA,2020,5,7
1.7,GIN,2020,5,7
0.4,GMB,2020,5,7
4.0,GNB,2020,5,7
8.3,GNQ,2020,5,7
16.9,GRC,2020,5,7
,GRD,2020,5,7
