Value,Country or Area,Code3,Item,Year
2.33,Sierra Leone,SLE,people_vaccinated_per_hundred,2021
79.6,Singapore,SGP,people_vaccinated_per_hundred,2021
59.24,Sint Maarten (Dutch part),SXM,people_vaccinated_per_hundred,2021
44.83,Slovakia,SVK,people_vaccinated_per_hundred,2021
54.21,Slovenia,SVN,people_vaccinated_per_hundred,2021
10.59,Solomon Islands,SLB,people_vaccinated_per_hundred,2021
1.54,Somalia,SOM,people_vaccinated_per_hundred,2021
20.97,South Africa,ZAF,people_vaccinated_per_hundred,2021
61.97,South America,OWID_SAM,people_vaccinated_per_hundred,2021
76.69,South Korea,KOR,people_vaccinated_per_hundred,2021
0.65,South Sudan,SSD,people_vaccinated_per_hundred,2021
80.61,Spain,ESP,people_vaccinated_per_hundred,2021
67.46,Sri Lanka,LKA,people_vaccinated_per_hundred,2021
1.45,Sudan,SDN,people_vaccinated_per_hundred,2021
38.7,Suriname,SUR,people_vaccinated_per_hundred,2021
70.4,Sweden,SWE,people_vaccinated_per_hundred,2021
63.32,Switzerland,CHE,people_vaccinated_per_hundred,2021
1.56,Syria,SYR,people_vaccinated_per_hundred,2021
55.52,Taiwan,TWN,people_vaccinated_per_hundred,2021
23.66,Tajikistan,TJK,people_vaccinated_per_hundred,2021
0.57,Tanzania,TZA,people_vaccinated_per_hundred,2021
42.17,Thailand,THA,people_vaccinated_per_hundred,2021
32.85,Timor,TLS,people_vaccinated_per_hundred,2021
7.02,Togo,TGO,people_vaccinated_per_hundred,2021
70.76,Tokelau,TKL,people_vaccinated_per_hundred,2021
43.21,Tonga,TON,people_vaccinated_per_hundred,2021
40.99,Trinidad and Tobago,TTO,people_vaccinated_per_hundred,2021
42.17,Tunisia,TUN,people_vaccinated_per_hundred,2021
63.31,Turkey,TUR,people_vaccinated_per_hundred,2021
0.53,Turkmenistan,TKM,people_vaccinated_per_hundred,2021
69.97,Turks and Caicos Islands,TCA,people_vaccinated_per_hundred,2021
52.07,Tuvalu,TUV,people_vaccinated_per_hundred,2021
3.49,Uganda,UGA,people_vaccinated_per_hundred,2021
16.27,Ukraine,UKR,people_vaccinated_per_hundred,2021
93.05,United Arab Emirates,ARE,people_vaccinated_per_hundred,2021
71.59,United Kingdom,GBR,people_vaccinated_per_hundred,2021
63.73,United States,USA,people_vaccinated_per_hundred,2021
78.47,Uruguay,URY,people_vaccinated_per_hundred,2021
28.84,Uzbekistan,UZB,people_vaccinated_per_hundred,2021
13.62,Vanuatu,VUT,people_vaccinated_per_hundred,2021
33.9,Venezuela,VEN,people_vaccinated_per_hundred,2021
32.77,Vietnam,VNM,people_vaccinated_per_hundred,2021
48.37,Wallis and Futuna,WLF,people_vaccinated_per_hundred,2021
45.35,World,OWID_WRL,people_vaccinated_per_hundred,2021
1.01,Yemen,YEM,people_vaccinated_per_hundred,2021
1.64,Zambia,ZMB,people_vaccinated_per_hundred,2021
20.43,Zimbabwe,ZWE,people_vaccinated_per_hundred,2021
